token,tfidf
tree,0.9599418980614836
galleri,0.85906672805386
decor,0.8142760001717233
tate,0.8120298900372824
sculptor,0.7776886801378551
wentworth,0.7432003140692396
spruce,0.6694919276879985
artist,0.6444548165262656
year,0.6444548165262656
christma,0.6361670785667919
plate,0.6244972735877952
receiv,0.6219432620739906
text,0.6219432620739906
messag,0.5769486079737871
bulb,0.5657669237675775
light,0.5657669237675775
one,0.5622847892972609
17th,0.4013430957139635
dress,0.4013430957139635
invit,0.4013430957139635
artwork,0.39854560795010024
auction,0.39854560795010024
branch,0.39854560795010024
chariti,0.39854560795010024
children,0.39854560795010024
display,0.39854560795010024
foyer,0.39854560795010024
green,0.39854560795010024
norway,0.39854560795010024
plain,0.39854560795010024
antenna,0.38470245194874725
bluetooth,0.38470245194874725
sent,0.38470245194874725
visitor,0.38470245194874725
1960s,0.3744988443392877
assist,0.3744988443392877
henri,0.3744988443392877
late,0.3744988443392877
moor,0.3744988443392877
work,0.3744988443392877
2002,0.35261369429516254
emin,0.35261369429516254
includ,0.35261369429516254
previous,0.35261369429516254
tracey,0.35261369429516254
art,0.34291775262768814
britain,0.34291775262768814
london,0.34291775262768814
unveil,0.34291775262768814
broken,0.33206257076077306
respons,0.33206257076077306
richard,0.33206257076077306
unwrap,0.33206257076077306
adorn,0.3298361423816021
dim,0.3298361423816021
domest,0.3298361423816021
join,0.3298361423816021
ordinari,0.3298361423816021
string,0.3298361423816021
togeth,0.3298361423816021
1980s,0.32798877247376296
decad,0.32798877247376296
grew,0.32798877247376296
influenti,0.32798877247376296
last,0.32798877247376296
reput,0.32798877247376296
teacher,0.32798877247376296
two,0.32798877247376296
also,0.28210930103915743
cigarett,0.28210930103915743
everyday,0.28210930103915743
jam,0.28210930103915743
known,0.28210930103915743
leg,0.28210930103915743
mundan,0.28210930103915743
packet,0.28210930103915743
photographi,0.28210930103915743
subject,0.28210930103915743
tabl,0.28210930103915743
wonki,0.28210930103915743
